Id Label Weight
梁山 梁山 62
花飞 花飞 1
戈矛 戈矛 5
光摇 光摇 1
完颜亮 完颜亮 1
雪里 雪里 1
柴进东 柴进东 2
尹大惊 尹大惊 1
白衣秀士 白衣秀士 3
王伦 王伦 68
天杜迁 天杜迁 6
云里金刚 云里金刚 7
宋万 宋万 51
常寄书 常寄书 1
顾盼 顾盼 2
若蒙 若蒙 8
柴进庄 柴进庄 3
柴进笑 柴进笑 6
林峦 林峦 3
松壑玉 松壑玉 1
龙蟠 龙蟠 1
玉映 玉映 1
柳絮 柳絮 1
黄髯 黄髯 2
有家难奔 有家难奔 7
那汉笑 那汉笑 2
水亭 水亭 5
顾问 顾问 4
杜迁 杜迁 60
庄子 庄子 1
蒙汗药 蒙汗药 17
麻翻 麻翻 1
朱贵道 朱贵道 13
宿一霄 宿一霄 1
朱贵 朱贵 100
望泊子 望泊子 1
金沙滩 金沙滩 46
鹿角 鹿角 10
朱贵同 朱贵同 2
弓弩 弓弩 14
朱贵引 朱贵引 2
朱贵便 朱贵便 5
王伦动 王伦动 1
王伦量 王伦量 1
容复 容复 4
望赐 望赐 1
生之幸 生之幸 2
王伦道 王伦道 10
木植广 木植广 1
朱贵笑 朱贵笑 2
王伦忒 王伦忒 1
王伦笑 王伦笑 2
宋玉 宋玉 2
江淹 江淹 1
高祖 高祖 2
曹公 曹公 1
李陵 李陵 2
苏武 苏武 1
仰天长叹 仰天长叹 2
初晴 初晴 2
明朗 明朗 14
朴刀杆 朴刀杆 3
金晴 金晴 1
杨志 杨志 214
范阳 范阳 2
薄云 薄云 2
寒冰 寒冰 2
马超 马超 1
杨令公 杨令公 1
杨名志 杨名志 1
过武举 过武举 3
花石纲 花石纲 9
杨志道 杨志道 59
杨制 杨制 7
杨志大 杨志大 5
那杨志 那杨志 2
司府制 司府制 2
申文书 申文书 1
祖宗 祖宗 8
马行街 马行街 2
杨志立 杨志立 1
牛二 牛二 12
牛二抢 牛二抢 1
牛二便 牛二便 1
牛二紧 牛二紧 1
霍地 霍地 7
望牛二 望牛二 1
杨志告 杨志告 1
阎王 阎王 1
杨志押 杨志押 1
张龙 张龙 2
赵虎 赵虎 2
赵虎道 赵虎道 1
杨志谢 杨志谢 2
杨志同 杨志同 1
梁中书 梁中书 152
蔡京 蔡京 49
解杨志 解杨志 1
杨志便 杨志便 6
杨志自 杨志自 2
殷勤 殷勤 13
东郭 东郭 7
蒙恩相 蒙恩相 2
杨志若 杨志若 1
杨志英 杨志英 1
都监 都监 20
李天王 李天王 4
闻达 闻达 38
黄旗 黄旗 24
白旗 白旗 28
马军齐 马军齐 2
马勒 马勒 3
暴雷 暴雷 2
周谨 周谨 25
左旋 左旋 3
若蒙恩 若蒙恩 3
周谨先 周谨先 2
周谨斗 周谨斗 1
杨志来 杨志来 2
马都监 马都监 18
杨志横 杨志横 1
弓马熟 弓马熟 4
马挺枪 马挺枪 12
马斗马 马斗马 2
管军兵 管军兵 1
张弓 张弓 2
杨志得 杨志得 1
杨志一 杨志一 4
杨志终 杨志终 1
马鞍 马鞍 4
杨志后 杨志后 2
弓弦响 弓弦响 7
那枝箭 那枝箭 14
弓弦 弓弦 4
勃喇喇 勃喇喇 1
杨志先 杨志先 1
弓虚 弓虚 1
周谨马 周谨马 1
弓开如 弓开如 1
左肩 左肩 1
谢恩 谢恩 32
索超 索超 92
杨志骑 杨志骑 1
罗三檐 罗三檐 1
