Source Target Weight
言语 张文远 4
言语 阎婆惜 5
言语 张三 10
言语 宋江道 27
言语 宋江便 10
言语 那婆子 6
言语 梁山泊 29
言语 上楼来 4
言语 武松 60
言语 王婆 8
言语 王婆道 4
言语 大官人 12
言语 明白 6
言语 孙二娘 5
言语 张青 5
言语 黄信 20
言语 花荣 10
言语 刘高 5
言语 秦明 6
言语 宋公明 14
言语 小可 7
言语 戴宗 26
言语 戴宗道 10
言语 黄文炳 4
言语 李逵 65
言语 李俊 7
言语 杜迁 7
言语 朱贵 5
言语 石勇 7
言语 裴宣 6
言语 杨林 4
言语 石秀 14
言语 潘公 4
言语 石秀道 12
言语 杨雄 19
言语 杨雄道 8
言语 杜兴 8
言语 李大官人 4
言语 李应 6
言语 白胜 9
言语 柴皇城 5
言语 殷天锡 13
言语 柴进 17
言语 公孙胜 5
言语 罗真人 4
言语 李云 5
言语 段景住 6
言语 史文恭 7
言语 呼延 8
言语 卢俊义 11
言语 燕青 38
言语 关胜 5
言语 郁保四 7
言语 李瑞兰 4
言语 董平 4
言语 李师师 25
言语 蔡太师 4
言语 李虞候 5
言语 陈太尉 10
言语 马匹 4
言语 张干 4
言语 张叔夜 13
言语 招安 12
言语 欧阳侍郎 9
言语 侍郎 10
言语 解珍 12
言语 方腊 6
言语 费保 6
言语 王英 4
言语 扈三娘 4
言语 孙新 4
言语 顾大嫂 4
史家村 太公 5
史家村 王进 6
史家村 老汉 4
史家村 朱武 6
史家村 陈达 12
史家村 杨春 10
史家村 钱粮 6
史家村 小喽啰 4
冷汗 宋江 14
冷汗 武松 19
冷汗 梁山泊 5
冷汗 宋江奏 4
闻人 刘高 5
闻人 小喽啰 4
闻人 宋江 11
闻人 卢俊义 10
闻人 刘唐 4
宣武 宋江 7
仁义 祝彪 5
仁义 梁山泊 6
仁义 张顺道 4
仁义 宋江 11
仁义 燕青 5
柳大郎 柳世权 4
柳大郎 小苏学士 4
柳大郎 太尉 4
柳世权 柳大郎 4
亦且 太尉 4
亦且 史进 4
亦且 林冲 6
亦且 杨志 5
亦且 小喽啰 4
亦且 梁山泊 5
亦且 晁盖 5
亦且 雷横 7
亦且 吴用 4
亦且 刘唐 4
亦且 宋江 23
亦且 阎婆惜 4
亦且 武松 7
亦且 孔亮 5
亦且 宋江道 4
亦且 花荣 5
亦且 黄信 9
亦且 阮小七 4
宿歇 林冲 5
宿歇 梁中书 4
宿歇 相公 8
宿歇 武松 47
宿歇 张都监 6
宿歇 宋江 15
宿歇 穆弘 6
宿歇 张顺 7
宿歇 戴宗 14
宿歇 金大坚 4
宿歇 罗真人 14
宿歇 李逵 9
宿歇 徐宁 5
宿歇 安道全 4
宿歇 张顺道 9
宿歇 燕青 8
宿歇 梁山泊 4
宿歇 高太尉 4
宿歇 公孙胜 4
小苏学士 柳大郎 4
小苏学士 太尉 5
门吏转 王定 4
门吏转 蔡京 4
门吏转 梁山泊 4
小王 太尉 4
小王 王都尉 4
太尉乃 高太尉 6
太尉乃 宋江 7
王都尉 小王 4
王都尉 太尉 11
王都尉 玉龙 5
王都尉 王府 4
王都尉 宋江 6
都尉 方腊 11
都尉 宋江 5
都尉 宋兵 4
席相陪 宋江 9
席相陪 花荣 6
席相陪 宿太尉 7
玉龙 王都尉 5
玉狮子 宋江 7
玉狮子 梁山泊 6
玉狮子 史文恭 14
玉狮子 晁盖 4
玉狮子 李逵 6
高俅领 蔡京 7
施礼 庄客 10
施礼 王进 8
施礼 太公 9
施礼 陈达 7
施礼 史进 7
施礼 史大郎 4
施礼 高太尉 6
施礼 鲁达 10
施礼 相公 9
施礼 赵员外 4
施礼 智真长老 5
施礼 林冲 20
施礼 大官人 5
施礼 梁山泊 4
施礼 王伦 6
施礼 柴进 8
施礼 晁盖 4
施礼 小可 6
施礼 黄信 4
施礼 慕容 4
施礼 花荣 4
施礼 秦明 8
施礼 戴宗 24
施礼 戴宗道 8
施礼 杨林 5
施礼 杨雄 4
施礼 朱仝 4
施礼 李逵 21
施礼 公孙胜 14
施礼 小石桥 4
施礼 宋江 40
施礼 吴用 17
施礼 卢俊义 8
施礼 李固 6
施礼 宣赞 4
施礼 关胜 7
施礼 燕青 12
施礼 宋公明 5
施礼 罗真人 12
施礼 童子 7
王府 王都尉 4
王府 费保 4
王府 李俊 6
王府 武松 4
王府 宋江 7
王府 安民 4
王府 晓谕 4
王府 徐方 6
王府 甄诚 6
王府 张招 4
王府 刘光世 4
帅府太 王进 7
帅府太 太公 5
帅府太 老汉 4
帅府太 杨戬 4
帅府太 宋江 5
高殿帅 王进 22
高殿帅 太尉 18
高殿帅 高太尉 10
高殿帅 招安 9
高殿帅 陈太尉 10
高殿帅 张叔夜 6
高殿帅 宋公明 4
王进 帅府太 7
王进 高殿帅 22
王进 太尉 18
王进 王升 6
王进 安闲 6
王进 王进告 9
王进 高太尉 20
王进 呼唤 6
王进 饶恕 6
王进 子母 26
王进 林子里 5
王进 宿一宵 9
王进 庄客 37
王进 施礼 8
王进 周全 5
王进 庄主 11
王进 太公 89
王进 庄客入 5
王进 马拴 5
王进 柳树 5
王进 王进子母 4
王进 王进谢 4
王进 王进子 5
王进 老汉 22
王进 王进笑 9
王进 王进托 4
王进 高强 5
王进 相公 7
王进 史家村 6
王进 钱财 5
王进 龙史进 5
王进 史进 20
王进 史大郎 4
王进 和尚 5
王升 王进 6
安闲 王进 6
王进告 王进 9
王进告 太公 8
高太尉 王进 20
高太尉 高殿帅 10
高太尉 太尉 104
高太尉 呼唤 9
高太尉 帅府 37
高太尉 子母 5
高太尉 太公 6
高太尉 庄客 4
高太尉 相公 11
高太尉 老汉 4
高太尉 钱财 4
高太尉 史进 13
高太尉 施礼 6
高太尉 林冲 153
高太尉 师兄 6
高太尉 林冲娘子 4
高太尉 林冲见 10
高太尉 寻思 4
高太尉 陆虞候 16
高太尉 陆谦 5
高太尉 白虎 4
高太尉 恩相 10
高太尉 言语 7
高太尉 孙名定 4
高太尉 周全 16
高太尉 孙佛儿 4
高太尉 宛宛 4
高太尉 孙定道 12
高太尉 董超 16
高太尉 薛霸 9
高太尉 和尚 7
高太尉 大相国寺 4
高太尉 柴大官人 12
高太尉 林冲笑 4
高太尉 李小二 11
高太尉 小喽啰 11
高太尉 金沙滩 13
高太尉 王伦 9
高太尉 朱贵 4
高太尉 杨志道 4
高太尉 小可 5
高太尉 杨志 16
高太尉 梁山泊 135
高太尉 梁中书 7
高太尉 蔡京 9
高太尉 曹正 8
高太尉 张青 11
高太尉 孙二娘 11
高太尉 晁盖 8
高太尉 柴进 10
高太尉 高唐州 5
高太尉 文武 5
高太尉 宋江 184
高太尉 闻奏 7
高太尉 呼延 109
高太尉 谢恩 5
高太尉 韩滔 13
高太尉 来殿帅 9
高太尉 马军 44
高太尉 马步军 11
高太尉 马甲 6
高太尉 马出城 5
高太尉 凌振 9
高太尉 宋江道 29
高太尉 招安 83
高太尉 钱粮 7
高太尉 李忠 4
高太尉 秦明 7
高太尉 卢俊义 29
高太尉 戴宗 21
高太尉 李逵 14
高太尉 燕青 38
高太尉 李师师 17
高太尉 穆弘 4
